long_model,airline,photo_date,uploaded_date,location,uploader,photo_link,download_path,model,variant,purpose
Airbus A320-232,Aegean Airlines,Photo date: 2021-05-21,Uploaded: 2021-06-05,"Location: Düsseldorf Rhein-Ruhr Int'l Airport - EDDL, Germany",By: Martin Mortensen,cdn.jetphotos.com/400/5/20374_1621674611.jpg,./img/A320/cdn.jetphotos.com-400-5-20374_1621674611.jpg,A320,232,train
Airbus A320-232,QantasLink (Network Aviation),Photo date: 2021-06-03,Uploaded: 2021-06-05,"Location: Perth Int'l Airport - YPPH, Australia",By: Brenden,cdn.jetphotos.com/400/6/15733_1622860117.jpg,./img/A320/cdn.jetphotos.com-400-6-15733_1622860117.jpg,A320,232,test
Airbus A320-232,Scoot,Photo date: 2021-02-14,Uploaded: 2021-06-05,"Location: Singapore Changi Int'l Airport - WSSS, Singapore",By: MHJ PHOTOS,cdn.jetphotos.com/400/6/42950_1621669361.jpg,./img/A320/cdn.jetphotos.com-400-6-42950_1621669361.jpg,A320,232,train
Airbus A320-271N,Lufthansa,Photo date: 2021-04-24,Uploaded: 2021-06-05,"Location: London Heathrow Int'l - EGLL, United Kingdom",By: Piotr Persona,cdn.jetphotos.com/400/5/13563_1621668255.jpg,./img/A320/cdn.jetphotos.com-400-5-13563_1621668255.jpg,A320,271N,train
Airbus A320-232,Fly Arystan,Photo date: 2021-05-22,Uploaded: 2021-06-04,"Location: Almaty Airport - UAAA, Kazakhstan",By: Frolov Sergey,cdn.jetphotos.com/400/6/25516_1621674336.jpg,./img/A320/cdn.jetphotos.com-400-6-25516_1621674336.jpg,A320,232,validation
Airbus A320-271N,Air Astana,Photo date: 2021-05-22,Uploaded: 2021-06-04,"Location: Almaty Airport - UAAA, Kazakhstan",By: Frolov Sergey,cdn.jetphotos.com/400/5/25830_1621674294.jpg,./img/A320/cdn.jetphotos.com-400-5-25830_1621674294.jpg,A320,271N,train
Airbus A320-271N,Aegean Airlines,Photo date: 2021-05-11,Uploaded: 2021-06-04,"Location: Warsaw Chopin Airport - EPWA, Poland",By: Pawel Cieplak,cdn.jetphotos.com/400/5/61453_1621673375.jpg,./img/A320/cdn.jetphotos.com-400-5-61453_1621673375.jpg,A320,271N,train
Airbus A320-214,Untitled,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Ostrava Leos Janacek Airport - LKMT, Czech Republic",By: Lukáš Vardžák,cdn.jetphotos.com/400/6/37207_1621672109.jpg,./img/A320/cdn.jetphotos.com-400-6-37207_1621672109.jpg,A320,214,test
Airbus A320-271N,Lufthansa,Photo date: 2021-05-08,Uploaded: 2021-06-04,"Location: Zurich-Kloten Airport - LSZH, Switzerland",By: Dranob,cdn.jetphotos.com/400/5/30668_1621670197.jpg,./img/A320/cdn.jetphotos.com-400-5-30668_1621670197.jpg,A320,271N,validation
Airbus A320-214,Air China,Photo date: 2021-05-09,Uploaded: 2021-06-04,"Location: Wuhan Tianhe - ZHHH, China",By: Eric Wang,cdn.jetphotos.com/400/5/90779_1621665888.jpg,./img/A320/cdn.jetphotos.com-400-5-90779_1621665888.jpg,A320,214,train
Airbus A320-251NCJ,Sorens Aero,Photo date: 2021-04-15,Uploaded: 2021-06-04,"Location: Athens Eleftherios Venizelos Int'l Airport - LGAV, Greece",By: Kostas Marmarelis,cdn.jetphotos.com/400/5/30015_1621665703.jpg,./img/A320/cdn.jetphotos.com-400-5-30015_1621665703.jpg,A320,251NCJ,train
Airbus A320-214,Air France,Photo date: 2021-05-06,Uploaded: 2021-06-04,"Location: Athens Eleftherios Venizelos Int'l Airport - LGAV, Greece",By: Kostas Marmarelis,cdn.jetphotos.com/400/5/88151_1621665657.jpg,./img/A320/cdn.jetphotos.com-400-5-88151_1621665657.jpg,A320,214,test
Airbus A320-232,Aegean Airlines,Photo date: 2021-03-27,Uploaded: 2021-06-04,"Location: Athens Eleftherios Venizelos Int'l Airport - LGAV, Greece",By: Kostas Marmarelis,cdn.jetphotos.com/400/6/15566_1621665583.jpg,./img/A320/cdn.jetphotos.com-400-6-15566_1621665583.jpg,A320,232,train
Airbus A320-251N,Aeroflot,Photo date: 2021-06-04,Uploaded: 2021-06-04,"Location: Moscow Sheremetyevo - UUEE, Russia",By: Anna Zvereva,cdn.jetphotos.com/400/6/12401_1622839702.jpg,./img/A320/cdn.jetphotos.com-400-6-12401_1622839702.jpg,A320,251N,train
Airbus A320-251N,EgyptAir,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Johannesburg O.R. Tambo Int'l - FAOR, South Africa",By: ORTIASpotter,cdn.jetphotos.com/400/5/63349_1621662610.jpg,./img/A320/cdn.jetphotos.com-400-5-63349_1621662610.jpg,A320,251N,train
Airbus A320-271N,Spirit Airlines,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Phoenix Sky Harbor Int'l Airport - KPHX, USA - Arizona",By: Jason Whitebird,cdn.jetphotos.com/400/6/98689_1621661801.jpg,./img/A320/cdn.jetphotos.com-400-6-98689_1621661801.jpg,A320,271N,train
Airbus A320-214,Austrian Airlines,Photo date: 2021-05-06,Uploaded: 2021-06-04,"Location: Vienna Schwechat - LOWW, Austria",By: Michael Musil,cdn.jetphotos.com/400/5/62658_1621661621.jpg,./img/A320/cdn.jetphotos.com-400-5-62658_1621661621.jpg,A320,214,train
Airbus A320-214,Loong Air,Photo date: 2021-04-24,Uploaded: 2021-06-04,"Location: Guangzhou Baiyun Airport - ZGGG, China",By: TANG MIN XIN,cdn.jetphotos.com/400/5/59389_1621651420.jpg,./img/A320/cdn.jetphotos.com-400-5-59389_1621651420.jpg,A320,214,test
Airbus A320-232,China Southern Airlines,Photo date: 2021-04-04,Uploaded: 2021-06-04,"Location: Dalian - ZYTL, China",By: 1219qiuda,cdn.jetphotos.com/400/5/53362_1621646069.jpg,./img/A320/cdn.jetphotos.com-400-5-53362_1621646069.jpg,A320,232,validation
Airbus A320-214,China Southern Airlines,Photo date: 2020-09-13,Uploaded: 2021-06-04,"Location: Mohe Gulian - ZYMH, China",By: lihutao,cdn.jetphotos.com/400/5/82629_1621644792.jpg,./img/A320/cdn.jetphotos.com-400-5-82629_1621644792.jpg,A320,214,test
Airbus A320-271N,Air China,Photo date: 2021-03-21,Uploaded: 2021-06-04,"Location: Beijing Capital - ZBAA, China",By: Sun Wenyuan,cdn.jetphotos.com/400/5/79581_1621643135.jpg,./img/A320/cdn.jetphotos.com-400-5-79581_1621643135.jpg,A320,271N,train
Airbus A320-251N,Viva Air Colombia,Photo date: 2021-04-08,Uploaded: 2021-06-04,"Location: Miami Int'l Airport - KMIA, USA - Florida",By: Degupukas,cdn.jetphotos.com/400/6/90193_1621642792.jpg,./img/A320/cdn.jetphotos.com-400-6-90193_1621642792.jpg,A320,251N,train
Airbus A320-233,Avianca Central America,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: San Jose Juan Santamaria Int'l - MROC, Costa Rica",By: Cristian Quijano,cdn.jetphotos.com/400/5/60758_1621639775.jpg,./img/A320/cdn.jetphotos.com-400-5-60758_1621639775.jpg,A320,233,test
Airbus A320-232,Qatar Airways,Photo date: 2017-08-13,Uploaded: 2021-06-04,"Location: London Heathrow Int'l - EGLL, United Kingdom",By: Vicknesh PS,cdn.jetphotos.com/400/5/91968_1621636268.jpg,./img/A320/cdn.jetphotos.com-400-5-91968_1621636268.jpg,A320,232,test
Airbus A320-214,Lufthansa,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Roma Leonardo da Vinci/Fiumicino - LIRF, Italy",By: Matei Ioan Dascalu,cdn.jetphotos.com/400/6/92804_1621634966.jpg,./img/A320/cdn.jetphotos.com-400-6-92804_1621634966.jpg,A320,214,train
Airbus A320-232,Spirit Airlines,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Los Angeles Int'l Airport - KLAX, USA - California",By: klaxaviator,cdn.jetphotos.com/400/6/74498_1621634683.jpg,./img/A320/cdn.jetphotos.com-400-6-74498_1621634683.jpg,A320,232,train
Airbus A320-251N,TAP Air Portugal,Photo date: 2021-03-29,Uploaded: 2021-06-04,"Location: Frankfurt Rhein-Main Int'l Airport - EDDF, Germany",By: Stefan Bratner,cdn.jetphotos.com/400/5/82762_1621633814.jpg,./img/A320/cdn.jetphotos.com-400-5-82762_1621633814.jpg,A320,251N,train
Airbus A320-251N,Azul Linhas Aéreas Brasileiras,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Curitiba Afonso Pena Airport - SBCT, Brazil",By: J3an_longo,cdn.jetphotos.com/400/5/37127_1621631645.jpg,./img/A320/cdn.jetphotos.com-400-5-37127_1621631645.jpg,A320,251N,train
Airbus A320-214,LATAM Airlines,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Curitiba Afonso Pena Airport - SBCT, Brazil",By: J3an_longo,cdn.jetphotos.com/400/5/44802_1621631339.jpg,./img/A320/cdn.jetphotos.com-400-5-44802_1621631339.jpg,A320,214,test
Airbus A320-232,Aegean Airlines,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Kris Van Craenenbroeck,cdn.jetphotos.com/400/6/82921_1621630485.jpg,./img/A320/cdn.jetphotos.com-400-6-82921_1621630485.jpg,A320,232,train
Airbus A320-232,Wizz Air,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Stavanger-Sola - ENZV, Norway",By: R.Rimestad,cdn.jetphotos.com/400/6/35690_1621629904.jpg,./img/A320/cdn.jetphotos.com-400-6-35690_1621629904.jpg,A320,232,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Funchal, Cristiano Ronaldo Airport, Madeira - LPMA, Portugal",By: Alex Maio,cdn.jetphotos.com/400/5/72363_1621629474.jpg,./img/A320/cdn.jetphotos.com-400-5-72363_1621629474.jpg,A320,214,validation
Airbus A320-232,Spirit Airlines,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Cleveland-Hopkins Int'l Airport - KCLE, USA - Ohio",By: DJ Reed - OPShots Photo Team,cdn.jetphotos.com/400/5/90403_1621629262.jpg,./img/A320/cdn.jetphotos.com-400-5-90403_1621629262.jpg,A320,232,train
Airbus A320-271N,VivaAerobus,Photo date: 2021-04-20,Uploaded: 2021-06-04,"Location: México City Licenciado Benito Juarez Int'l - MMMX, Mexico",By: Santiago_MN,cdn.jetphotos.com/400/5/20761_1621629164.jpg,./img/A320/cdn.jetphotos.com-400-5-20761_1621629164.jpg,A320,271N,validation
Airbus A320-271N,Lufthansa,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Düsseldorf Rhein-Ruhr Int'l Airport - EDDL, Germany",By: Finnographie,cdn.jetphotos.com/400/6/27688_1621628798.jpg,./img/A320/cdn.jetphotos.com-400-6-27688_1621628798.jpg,A320,271N,train
Airbus A320-271N,VivaAerobus,Photo date: 2021-04-20,Uploaded: 2021-06-04,"Location: México City Licenciado Benito Juarez Int'l - MMMX, Mexico",By: Santiago_MN,cdn.jetphotos.com/400/5/84867_1621628521.jpg,./img/A320/cdn.jetphotos.com-400-5-84867_1621628521.jpg,A320,271N,validation
Airbus A320-214,Brussels Airlines,Photo date: 2019-08-22,Uploaded: 2021-06-04,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Yari Ghys,cdn.jetphotos.com/400/5/37996_1621625565.jpg,./img/A320/cdn.jetphotos.com-400-5-37996_1621625565.jpg,A320,214,validation
Airbus A320-214,Air Malta,Photo date: 2019-08-22,Uploaded: 2021-06-04,"Location: Brussels Zaventem Int'l Airport - EBBR, Belgium",By: Yari Ghys,cdn.jetphotos.com/400/6/80270_1621624988.jpg,./img/A320/cdn.jetphotos.com-400-6-80270_1621624988.jpg,A320,214,train
Airbus A320-271N,Wizz Air,Photo date: 2021-05-21,Uploaded: 2021-06-04,"Location: Bari - Palese (Karol Wojtyla) - LIBD, Italy",By: Pampillonia Francesco - Plane Spotters Bari,cdn.jetphotos.com/400/5/72129_1621624272.jpg,./img/A320/cdn.jetphotos.com-400-5-72129_1621624272.jpg,A320,271N,test
Airbus A320-214,Shenzhen Airlines,Photo date: 2020-12-19,Uploaded: 2021-06-04,"Location: Nanjing - ZSNJ, China",By: Jiaming,cdn.jetphotos.com/400/5/84998_1621623600.jpg,./img/A320/cdn.jetphotos.com-400-5-84998_1621623600.jpg,A320,214,train
Airbus A320-214,Spring Airlines,Photo date: 2021-02-20,Uploaded: 2021-06-04,"Location: Shanghai Pudong - ZSPD, China",By: Jiaming,cdn.jetphotos.com/400/5/11206_1621623512.jpg,./img/A320/cdn.jetphotos.com-400-5-11206_1621623512.jpg,A320,214,validation
Airbus A320-214,Vueling,Photo date: 2021-05-08,Uploaded: 2021-06-04,"Location: Bilbao Sondica - LEBB, Spain",By: Asier de Prado,cdn.jetphotos.com/400/5/11952_1621621488.jpg,./img/A320/cdn.jetphotos.com-400-5-11952_1621621488.jpg,A320,214,train
Airbus A320-214,Aeroflot,Photo date: 2021-05-15,Uploaded: 2021-06-04,"Location: St. Petersburg Pulkovo - ULLI, Russia",By: KomradAlexey,cdn.jetphotos.com/400/5/24703_1621621685.jpg,./img/A320/cdn.jetphotos.com-400-5-24703_1621621685.jpg,A320,214,train
Airbus A320-251N,Smartavia,Photo date: 2021-05-09,Uploaded: 2021-06-04,"Location: St. Petersburg Pulkovo - ULLI, Russia",By: KomradAlexey,cdn.jetphotos.com/400/5/74776_1621621477.jpg,./img/A320/cdn.jetphotos.com-400-5-74776_1621621477.jpg,A320,251N,test
Airbus A320-214,Loong Air,Photo date: 2021-05-05,Uploaded: 2021-06-04,"Location: Xi'an Xianyang - ZLXY, China",By: Jeppesen_Tu,cdn.jetphotos.com/400/6/91056_1621620771.jpg,./img/A320/cdn.jetphotos.com-400-6-91056_1621620771.jpg,A320,214,train
Airbus A320-214,Iberia Express,Photo date: 2017-07-04,Uploaded: 2021-06-04,"Location: Dublin - EIDW, Ireland",By: Gary Oragano,cdn.jetphotos.com/400/6/18912_1621620350.jpg,./img/A320/cdn.jetphotos.com-400-6-18912_1621620350.jpg,A320,214,train
Airbus A320-232,Aegean Airlines,Photo date: 2020-08-16,Uploaded: 2021-06-04,"Location: Rhodes Diagoras (Paradisi) - LGRP, Greece",By: Lorenzo Bottaro,cdn.jetphotos.com/400/6/94250_1621619960.jpg,./img/A320/cdn.jetphotos.com-400-6-94250_1621619960.jpg,A320,232,validation
Airbus A320-214,Loong Air,Photo date: 2021-05-09,Uploaded: 2021-06-04,"Location: Lijiang Sanyi Airport - ZPLJ, China",By: Mason Wang,cdn.jetphotos.com/400/5/55248_1621619285.jpg,./img/A320/cdn.jetphotos.com-400-5-55248_1621619285.jpg,A320,214,train
Airbus A320-271N,Air Macau,Photo date: 2021-05-02,Uploaded: 2021-06-04,"Location: Changzhou - ZSCG, China",By: Mason Wang,cdn.jetphotos.com/400/6/10218_1621619237.jpg,./img/A320/cdn.jetphotos.com-400-6-10218_1621619237.jpg,A320,271N,train
Airbus A320-214,Citilink,Photo date: 2021-02-28,Uploaded: 2021-06-04,"Location: Bandung Husein Sastranegara Int'l - WICC, Indonesia",By: ARafiNA,cdn.jetphotos.com/400/5/34028_1621603570.jpg,./img/A320/cdn.jetphotos.com-400-5-34028_1621603570.jpg,A320,214,train
Airbus A320-251N,Flynas,Photo date: 2021-06-02,Uploaded: 2021-06-04,"Location: Hamburg Finkenwerder - EDHI, Germany",By: Martin Rogosz,cdn.jetphotos.com/400/5/84642_1622812199.jpg,./img/A320/cdn.jetphotos.com-400-5-84642_1622812199.jpg,A320,251N,test
Airbus A320-251N,British Airways,Photo date: 2021-05-20,Uploaded: 2021-06-04,"Location: Malta Int'l - LMML, Malta",By: Buzu,cdn.jetphotos.com/400/6/23013_1621613450.jpg,./img/A320/cdn.jetphotos.com-400-6-23013_1621613450.jpg,A320,251N,train
Airbus A320-232,Vueling,Photo date: 2018-06-09,Uploaded: 2021-06-04,"Location: Milano Malpensa - LIMC, Italy",By: Gabriele Fontana - Tuscan Aviation,cdn.jetphotos.com/400/5/21185_1621614439.jpg,./img/A320/cdn.jetphotos.com-400-5-21185_1621614439.jpg,A320,232,test
Airbus A320-251N,China Eastern Airlines,Photo date: 2021-06-04,Uploaded: 2021-06-04,"Location: Dalian - ZYTL, China",By: Egg manager,cdn.jetphotos.com/400/5/34001_1622798748.jpg,./img/A320/cdn.jetphotos.com-400-5-34001_1622798748.jpg,A320,251N,train
Airbus A320-271N,Lufthansa,Photo date: 2021-05-09,Uploaded: 2021-06-04,"Location: München Franz Josef Strauß - EDDM, Germany",By: Hugo Schwarzer,cdn.jetphotos.com/400/6/97439_1621612024.jpg,./img/A320/cdn.jetphotos.com-400-6-97439_1621612024.jpg,A320,271N,validation
Airbus A320-214,easyJet Europe,Photo date: 2019-07-14,Uploaded: 2021-06-04,"Location: Venice - Tessera (Marco Polo) - LIPZ, Italy",By: David Bracci - Tuscan Aviation,cdn.jetphotos.com/400/6/11343_1621611533.jpg,./img/A320/cdn.jetphotos.com-400-6-11343_1621611533.jpg,A320,214,train
Airbus A320-214,easyJet Europe,Photo date: 2019-07-14,Uploaded: 2021-06-04,"Location: Venice - Tessera (Marco Polo) - LIPZ, Italy",By: David Bracci - Tuscan Aviation,cdn.jetphotos.com/400/6/96062_1621611459.jpg,./img/A320/cdn.jetphotos.com-400-6-96062_1621611459.jpg,A320,214,train
Airbus A320-271N,Sichuan Airlines,Photo date: 2021-06-04,Uploaded: 2021-06-04,"Location: Tianjin Binhai - ZBTJ, China",By: slytherin6666,cdn.jetphotos.com/400/6/17175_1622796652.jpg,./img/A320/cdn.jetphotos.com-400-6-17175_1622796652.jpg,A320,271N,train
Airbus A320-251N,Azul Linhas Aéreas Brasileiras,Photo date: 2019-11-16,Uploaded: 2021-06-04,"Location: Salvador Dep. Luis Eduardo Magalhães - SBSV, Brazil",By: Marcos Marcel,cdn.jetphotos.com/400/6/55714_1621606205.jpg,./img/A320/cdn.jetphotos.com-400-6-55714_1621606205.jpg,A320,251N,validation
Airbus A320-214,Juneyao Airlines,Photo date: 2021-05-03,Uploaded: 2021-06-04,"Location: Qingdao-Liuting - ZSQD, China",By: nibrage,cdn.jetphotos.com/400/6/27008_1621604600.jpg,./img/A320/cdn.jetphotos.com-400-6-27008_1621604600.jpg,A320,214,validation
Airbus A320-214,GX Airlines,Photo date: 2021-05-03,Uploaded: 2021-06-04,"Location: Qingdao-Liuting - ZSQD, China",By: nibrage,cdn.jetphotos.com/400/5/90092_1621604701.jpg,./img/A320/cdn.jetphotos.com-400-5-90092_1621604701.jpg,A320,214,train
Airbus A320-214,LATAM Airlines,Photo date: 2021-05-10,Uploaded: 2021-06-04,"Location: Porto Alegre Salgado Filho - SBPA, Brazil",By: TLBorges,cdn.jetphotos.com/400/6/15610_1621605302.jpg,./img/A320/cdn.jetphotos.com-400-6-15610_1621605302.jpg,A320,214,train
Airbus A320-211,Lufthansa,Photo date: 2016-08-08,Uploaded: 2021-06-04,"Location: München Franz Josef Strauß - EDDM, Germany",By: Marco Wolf,cdn.jetphotos.com/400/5/36831_1621602400.jpg,./img/A320/cdn.jetphotos.com-400-5-36831_1621602400.jpg,A320,211,train
Airbus A320-214,Finnair,Photo date: 2016-08-08,Uploaded: 2021-06-04,"Location: München Franz Josef Strauß - EDDM, Germany",By: Marco Wolf,cdn.jetphotos.com/400/6/84598_1621602360.jpg,./img/A320/cdn.jetphotos.com-400-6-84598_1621602360.jpg,A320,214,validation
Airbus A320-214,Alaska Airlines,Photo date: 2019-10-30,Uploaded: 2021-06-04,"Location: Las Vegas McCarran Int'l Airport - KLAS, USA - Nevada",By: Michael Walter,cdn.jetphotos.com/400/5/72630_1621602769.jpg,./img/A320/cdn.jetphotos.com-400-5-72630_1621602769.jpg,A320,214,train
Airbus A320-232,Spirit Airlines,Photo date: 2019-10-30,Uploaded: 2021-06-04,"Location: Las Vegas McCarran Int'l Airport - KLAS, USA - Nevada",By: Michael Walter,cdn.jetphotos.com/400/6/45531_1621602743.jpg,./img/A320/cdn.jetphotos.com-400-6-45531_1621602743.jpg,A320,232,train
Airbus A320-214,Thai VietJet Air,Photo date: 2019-01-11,Uploaded: 2021-06-04,"Location: Phuket Int'l - VTSP, Thailand",By: Shimizu Brothers,cdn.jetphotos.com/400/6/30056_1621601784.jpg,./img/A320/cdn.jetphotos.com-400-6-30056_1621601784.jpg,A320,214,train
Airbus A320-232,Untitled,Photo date: 2021-05-27,Uploaded: 2021-06-04,"Location: Tallinn Lennart Meri - EETN, Estonia",By: Jevgeni Ivanov,cdn.jetphotos.com/400/5/79026_1622783272.jpg,./img/A320/cdn.jetphotos.com-400-5-79026_1622783272.jpg,A320,232,train
Airbus A320-232,jetBlue Airways,Photo date: 2021-06-03,Uploaded: 2021-06-04,"Location: Los Angeles Int'l Airport - KLAX, USA - California",By: klaxaviator,cdn.jetphotos.com/400/5/38205_1622782907.jpg,./img/A320/cdn.jetphotos.com-400-5-38205_1622782907.jpg,A320,232,train
Airbus A320-271N,Volaris,Photo date: 2021-05-01,Uploaded: 2021-06-04,"Location: Guadalajara Don Miguel Y Hidalgo Int'l - MMGL, Mexico",By: Rene Bernardo Olmos Bernal,cdn.jetphotos.com/400/6/72600_1621600844.jpg,./img/A320/cdn.jetphotos.com-400-6-72600_1621600844.jpg,A320,271N,train
Airbus A320-232,Tigerair,Photo date: 2017-04-02,Uploaded: 2021-06-04,"Location: Singapore Changi Int'l Airport - WSSS, Singapore",By: Vedant Agarwal,cdn.jetphotos.com/400/6/90012_1621597937.jpg,./img/A320/cdn.jetphotos.com-400-6-90012_1621597937.jpg,A320,232,train
Airbus A320-251N,Azul Linhas Aéreas Brasileiras,Photo date: 2021-06-03,Uploaded: 2021-06-04,"Location: Fortaleza Pinto Martins Intl - SBFZ, Brazil",By: Mike Sierra Oscar,cdn.jetphotos.com/400/6/71766_1622769989.jpg,./img/A320/cdn.jetphotos.com-400-6-71766_1622769989.jpg,A320,251N,train
Airbus A320-232,Air New Zealand,Photo date: 2021-05-21,Uploaded: 2021-06-03,"Location: Brisbane Int'l Airport - YBBN, Australia",By: Josh Deitz,cdn.jetphotos.com/400/6/89928_1621597183.jpg,./img/A320/cdn.jetphotos.com-400-6-89928_1621597183.jpg,A320,232,test
Airbus A320-232,JetSmart Argentina,Photo date: 2021-05-02,Uploaded: 2021-06-03,"Location: Buenos Aires Aeroparque Jorge Newbery - SABE, Argentina",By: Fernando Ariel Torre,cdn.jetphotos.com/400/5/37870_1621595157.jpg,./img/A320/cdn.jetphotos.com-400-5-37870_1621595157.jpg,A320,232,validation
Airbus A320-251N,Frontier Airlines,Photo date: 2021-05-10,Uploaded: 2021-06-03,"Location: Cleveland-Hopkins Int'l Airport - KCLE, USA - Ohio",By: DJ Reed - OPShots Photo Team,cdn.jetphotos.com/400/5/87958_1621593226.jpg,./img/A320/cdn.jetphotos.com-400-5-87958_1621593226.jpg,A320,251N,train
Airbus A320-251N,SaudiGulf Airlines,Photo date: 2021-05-20,Uploaded: 2021-06-03,"Location: Hamburg Finkenwerder - EDHI, Germany",By: vwmatze,cdn.jetphotos.com/400/6/24339_1621592147.jpg,./img/A320/cdn.jetphotos.com-400-6-24339_1621592147.jpg,A320,251N,train
Airbus A320-233,Air Sial,Photo date: 2021-04-10,Uploaded: 2021-06-03,"Location: Lahore Allama Iqbal Int'l Airport - OPLA, Pakistan",By: Hamza A. Mughal,cdn.jetphotos.com/400/5/63909_1621591837.jpg,./img/A320/cdn.jetphotos.com-400-5-63909_1621591837.jpg,A320,233,train
Airbus A320-212,Condor,Photo date: 2019-02-16,Uploaded: 2021-06-03,"Location: München Franz Josef Strauß - EDDM, Germany",By: Sierra Aviation Photography,cdn.jetphotos.com/400/5/37253_1621588020.jpg,./img/A320/cdn.jetphotos.com-400-5-37253_1621588020.jpg,A320,212,train
Airbus A320-232,Turkish Airlines,Photo date: 2019-02-16,Uploaded: 2021-06-03,"Location: München Franz Josef Strauß - EDDM, Germany",By: Sierra Aviation Photography,cdn.jetphotos.com/400/6/34240_1621587681.jpg,./img/A320/cdn.jetphotos.com-400-6-34240_1621587681.jpg,A320,232,train
Airbus A320-232,Aegean Airlines,Photo date: 2016-01-28,Uploaded: 2021-06-03,"Location: Düsseldorf Rhein-Ruhr Int'l Airport - EDDL, Germany",By: Günter Reichwein,cdn.jetphotos.com/400/5/16056_1621587070.jpg,./img/A320/cdn.jetphotos.com-400-5-16056_1621587070.jpg,A320,232,test
Airbus A320-214,LATAM Airlines,Photo date: 2021-06-03,Uploaded: 2021-06-03,"Location: Cuzco Velazco Astete - SPZO, Peru",By: Aldo Martinelli,cdn.jetphotos.com/400/5/63862_1622751893.jpg,./img/A320/cdn.jetphotos.com-400-5-63862_1622751893.jpg,A320,214,train
Airbus A320-214,Lauda Europe,Photo date: 2021-06-03,Uploaded: 2021-06-03,"Location: Vienna Schwechat - LOWW, Austria",By: Felix Sourek,cdn.jetphotos.com/400/6/92038_1622751517.jpg,./img/A320/cdn.jetphotos.com-400-6-92038_1622751517.jpg,A320,214,train
Airbus A320-214,LATAM Airlines,Photo date: 2021-05-31,Uploaded: 2021-06-03,"Location: Cuzco Velazco Astete - SPZO, Peru",By: Aldo Martinelli,cdn.jetphotos.com/400/6/61514_1622749931.jpg,./img/A320/cdn.jetphotos.com-400-6-61514_1622749931.jpg,A320,214,train
Airbus A320-251N,Pegasus Airlines,Photo date: 2021-04-24,Uploaded: 2021-06-03,"Location: Zurich-Kloten Airport - LSZH, Switzerland",By: Christian Kruhl,cdn.jetphotos.com/400/5/34802_1621585665.jpg,./img/A320/cdn.jetphotos.com-400-5-34802_1621585665.jpg,A320,251N,train
Airbus A320-251N,Aeroflot,Photo date: 2021-06-03,Uploaded: 2021-06-03,"Location: Moscow Sheremetyevo - UUEE, Russia",By: Ivan Goreza,cdn.jetphotos.com/400/5/66213_1622748604.jpg,./img/A320/cdn.jetphotos.com-400-5-66213_1622748604.jpg,A320,251N,test
Airbus A320-251N,Sky Express,Photo date: 2021-05-19,Uploaded: 2021-06-03,"Location: Athens Eleftherios Venizelos Int'l Airport - LGAV, Greece",By: George Chaidaris,cdn.jetphotos.com/400/6/60106_1621578152.jpg,./img/A320/cdn.jetphotos.com-400-6-60106_1621578152.jpg,A320,251N,test
Airbus A320-232,Spirit Airlines,Photo date: 2021-05-16,Uploaded: 2021-06-03,"Location: Atlanta Hartsfield-Jackson Int'l Airport - KATL, USA - Georgia",By: Agustin Anaya,cdn.jetphotos.com/400/6/58267_1621574591.jpg,./img/A320/cdn.jetphotos.com-400-6-58267_1621574591.jpg,A320,232,train
Airbus A320-271N,Spirit Airlines,Photo date: 2021-05-15,Uploaded: 2021-06-03,"Location: Atlanta Hartsfield-Jackson Int'l Airport - KATL, USA - Georgia",By: Agustin Anaya,cdn.jetphotos.com/400/5/92675_1621574536.jpg,./img/A320/cdn.jetphotos.com-400-5-92675_1621574536.jpg,A320,271N,train
Airbus A320-214,Citilink,Photo date: 2021-05-20,Uploaded: 2021-06-03,"Location: Bandung Husein Sastranegara Int'l - WICC, Indonesia",By: ARafiNA,cdn.jetphotos.com/400/6/41012_1621572266.jpg,./img/A320/cdn.jetphotos.com-400-6-41012_1621572266.jpg,A320,214,train
Airbus A320-232,Tianjin Airlines,Photo date: 2021-02-03,Uploaded: 2021-06-03,"Location: Guangzhou Baiyun Airport - ZGGG, China",By: Lywings,cdn.jetphotos.com/400/6/54530_1621566810.jpg,./img/A320/cdn.jetphotos.com-400-6-54530_1621566810.jpg,A320,232,train
